CV1 (voltage),CV2 (voltage),Flow 1 (LPH),Flow 2 (LPH),Level 1 (mm),Level 2 (mm),Time (sec)
4.5,3,141.223053,147.3916016,151.8453369,130.9859009,0
4.5,3,140.8192749,147.3467102,151.9425354,131.0636597,0.2
4.5,3,140.8417053,147.4140015,151.8453369,131.04422,0.4
4.5,3,140.9089966,147.5710449,151.903656,131.0636597,0.6
4.5,3,140.8417053,147.4140015,151.903656,131.0636597,0.8
4.5,3,140.7744141,147.3916016,151.9230957,131.0636597,1
4.5,3,141.3127441,147.4364319,151.9425354,131.0248108,1.2
4.5,3,141.7838135,147.2121277,151.9814148,131.04422,1.4
4.5,3,142.4343262,147.2569885,151.9619751,131.1608582,1.6
4.5,3,144.0044861,147.2569885,151.9425354,131.0636597,1.8
4.5,3,145.2830505,147.4140015,151.9425354,131.04422,2
4.5,3,147.0775452,147.4364319,151.9230957,131.04422,2.2
4.5,3,149.9711609,147.4588623,151.7870178,130.946991,2.4
4.5,3,152.0124207,147.3467102,151.9619751,131.1025696,2.6
4.5,3,154.9733276,147.4364319,151.9619751,131.1220093,2.8
4.5,3,157.7547607,147.3467102,151.8453369,131.0248108,3
4.5,3,160.8502502,147.4140015,151.9230957,131.04422,3.2
4.5,3,163.9681702,147.4140015,157.1525269,131.1414185,3.4
4.5,3,166.7496033,147.2794495,157.0747681,131.1025696,3.6
4.5,3,168.7235718,147.4812927,157.0942383,131.0248108,3.8
4.5,3,171.7517395,147.4140015,157.0942383,131.0248108,4
4.5,4.5,173.8154297,147.4364319,157.1914368,131.0636597,4.2
4.5,4.5,176.8211975,147.5037537,157.113678,131.0248108,4.4
4.5,4.5,178.8624268,147.5486145,157.1330872,131.1220093,4.6
4.5,4.5,180.6793518,146.4046326,157.0942383,131.0636597,4.8
4.5,4.5,182.7879028,146.6513367,157.1914368,131.1220093,5
4.5,4.5,184.8066711,146.4719238,157.0553284,131.1414185,5.2
4.5,4.5,186.82547,147.4588623,157.113678,131.0636597,5.4
4.5,4.5,187.7675781,147.3916016,157.0747681,131.0053711,5.6
4.5,4.5,189.8985291,148.5580139,157.113678,131.0830994,5.8
4.5,4.5,190.7733765,149.522522,157.1525269,131.1220093,6
4.5,4.5,193.016449,151.6086426,157.1330872,131.0248108,6.2
4.5,4.5,193.8239746,153.2685547,157.0942383,130.9859009,6.4
4.5,4.5,194.5866394,155.3770447,162.3041992,131.1414185,6.6
